,mac,vendor
0,00:30:44:1c:35:2f,"CradlePoint, Inc"
1,14:d6:4d:4b:00:46,D-Link International
2,00:78:88:99:65:7b,"Cisco Systems, Inc"
3,30:74:96:6c:29:b4,"Huawei Tech Co, Ltd"
5,00:c8:8b:60:87:64,"Cisco Systems, Inc"
6,00:c8:8b:60:87:64,"Cisco Systems, Inc"
7,18:33:9d:8d:bf:e1,"Cisco Systems, Inc"
9,18:33:9d:8d:bf:e0,"Cisco Systems, Inc"
10,18:33:9d:8d:bf:ef,"Cisco Systems, Inc"
11,00:c8:8b:45:a0:3b,"Cisco Systems, Inc"
12,18:33:9d:8d:bf:ee,"Cisco Systems, Inc"
13,00:c8:8b:45:a0:34,"Cisco Systems, Inc"
14,18:33:9d:8d:a3:f0,"Cisco Systems, Inc"
15,00:c8:8b:45:a0:34,"Cisco Systems, Inc"
16,18:60:24:08:c1:f3,Hewlett Packard
17,a4:56:30:a2:72:94,"Cisco Systems, Inc"
19,00:78:88:aa:b2:fb,"Cisco Systems, Inc"
20,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
21,00:78:88:aa:b2:fb,"Cisco Systems, Inc"
23,18:33:9d:8d:a3:f1,"Cisco Systems, Inc"
25,54:78:1a:21:cb:f4,"Cisco Systems, Inc"
26,b4:30:52:b4:97:89,"Huawei Tech Co, Ltd"
27,b4:30:52:b4:97:89,"Huawei Tech Co, Ltd"
29,18:60:24:08:c1:f3,Hewlett Packard
30,54:78:1a:21:cb:fb,"Cisco Systems, Inc"
32,a4:56:30:a2:72:9b,"Cisco Systems, Inc"
34,00:3a:9b:06:f1:37,"Cisco Systems, Inc"
35,00:3a:9b:06:f1:30,"Cisco Systems, Inc"
36,3c:ce:73:08:17:2b,"Cisco Systems, Inc"
38,30:89:d3:c1:a3:30,Hongkong Ucloudlink Network Tech Ltd
39,50:0f:80:ed:71:0b,"Cisco Systems, Inc"
41,00:2a:10:13:7d:ab,"Cisco Systems, Inc"
43,48:f8:b3:f1:e2:20,"Cisco-Linksys, Llc"
44,d0:17:c2:3d:5a:90,ASUSTek Computer Inc
45,00:1f:1f:67:4e:64,Edimax Tech Co Ltd
47,00:0f:61:b1:70:61,Hewlett Packard
48,10:62:eb:95:4b:70,D-Link International
50,48:f8:b3:f1:e2:20,"Cisco-Linksys, Llc"
51,50:0f:80:7d:b2:64,"Cisco Systems, Inc"
53,40:ce:24:dc:cd:6b,"Cisco Systems, Inc"
54,40:ce:24:dc:cd:64,"Cisco Systems, Inc"
55,00:2a:10:c8:15:c4,"Cisco Systems, Inc"
56,20:c9:d0:ae:24:0e,"Apple, Inc"
57,00:2a:10:f3:5b:14,"Cisco Systems, Inc"
58,50:0f:80:75:4e:a4,"Cisco Systems, Inc"
59,50:0f:80:7d:b2:64,"Cisco Systems, Inc"
60,50:0f:80:75:4e:ab,"Cisco Systems, Inc"
61,50:0f:80:7d:b2:44,"Cisco Systems, Inc"
62,00:2a:10:13:7d:a4,"Cisco Systems, Inc"
63,c4:3d:c7:71:17:3a,Netgear
64,00:2a:10:1a:fe:f4,"Cisco Systems, Inc"
65,84:3d:c6:06:05:f0,"Cisco Systems, Inc"
67,00:2a:10:f3:95:c0,"Cisco Systems, Inc"
