,MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,Unnamed: 0,mac,vendor
43,18:33:9d:8d:bf:e1,DC_Guest,[ESS],2018-06-07 12:26:50,1,-81,55.78604339,12.52167907,83.3873901367,3.2160000801099997,WIFI,7,18:33:9d:8d:bf:e1,"Cisco Systems, Inc"
44,18:33:9d:8d:bf:e0,DC_NET,[WPA2-EAP-CCMP][ESS],2018-06-07 12:26:54,1,-80,55.78604502,12.52175945,84.6287231445,3.2160000801099997,WIFI,9,18:33:9d:8d:bf:e0,"Cisco Systems, Inc"
45,18:33:9d:8d:bf:ef,DC_NET,[WPA2-EAP-CCMP][ESS],2018-06-07 12:26:54,60,-87,55.78604502,12.52175945,84.6287231445,3.2160000801099997,WIFI,10,18:33:9d:8d:bf:ef,"Cisco Systems, Inc"
364,30:89:d3:c1:a3:30,GlocalMe_96386,[WPA2-PSK-CCMP][ESS],2018-06-07 12:31:51,8,-88,55.78566761,12.52431375,79.3218383789,3.2160000801099997,WIFI,38,30:89:d3:c1:a3:30,Hongkong Ucloudlink Network Tech Ltd
472,c4:3d:c7:71:17:3a,grunnbekken,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2018-06-07 12:34:02,6,-81,55.78608336,12.52627313,82.5104980469,9.64800071716,WIFI,63,c4:3d:c7:71:17:3a,Netgear
1065,00:21:f7:fd:f5:a8,C-Wifi,[WPA2-EAP-CCMP][ESS],2018-06-07 12:42:02,36,-84,55.79202972,12.52593958,83.1109619141,3.2160000801099997,WIFI,124,00:21:f7:fd:f5:a8,Hpn Supply Chain
1070,00:23:33:2c:79:a0,Hempel-Wireless,[WEP][ESS],2018-06-07 12:42:02,1,-88,55.79202972,12.52593958,83.1109619141,3.2160000801099997,WIFI,127,00:23:33:2c:79:a0,"Cisco Systems, Inc"
1071,80:30:dc:2a:b6:28,E510 Test#2,[WPA2-PSK-CCMP][ESS][WPS],2018-06-07 12:42:29,6,-90,55.7920029,12.52521392,78.8728027344,9.64800071716,WIFI,131,80:30:dc:2a:b6:28,Texas Instruments
1092,88:f0:31:f2:7b:60,C-Wifi,[WPA2-EAP-CCMP][ESS],2018-06-07 12:42:39,1,-88,55.79204253,12.52497516,79.98486328119999,3.2160000801099997,WIFI,135,88:f0:31:f2:7b:60,"Cisco Systems, Inc"
1102,88:f0:31:ee:dd:72,Satcom1,[WPA2-EAP-CCMP][ESS],2018-06-07 12:42:39,11,-88,55.79204253,12.52497516,79.98486328119999,3.2160000801099997,WIFI,137,88:f0:31:ee:dd:72,"Cisco Systems, Inc"
1164,00:21:f7:fc:8e:41,Satcom_Guest,[ESS],2018-06-07 12:42:55,1,-80,55.79201819,12.52482789,77.3983764648,3.2160000801099997,WIFI,149,00:21:f7:fc:8e:41,Hpn Supply Chain
1169,00:14:c2:a3:09:9e,Satcom3,[WPA2-PSK-CCMP][ESS],2018-06-07 12:43:46,6,-84,55.79209772,12.52364122,79.0723266602,3.2160000801099997,WIFI,163,00:14:c2:a3:09:9e,Hewlett Packard
1175,88:f0:31:f2:7b:10,C-Wifi,[WPA2-EAP-CCMP][ESS],2018-06-07 12:44:10,6,-87,55.79211876,12.52326695,82.1821899414,9.64800071716,WIFI,169,88:f0:31:f2:7b:10,"Cisco Systems, Inc"
1176,88:f0:31:ee:dd:7f,C-Wifi,[WPA2-EAP-CCMP][ESS],2018-06-07 12:44:10,112,-91,55.79211876,12.52326695,82.1821899414,9.64800071716,WIFI,170,88:f0:31:ee:dd:7f,"Cisco Systems, Inc"
1178,88:f0:31:ee:dd:7d,Satcom1,[WPA2-EAP-CCMP][ESS],2018-06-07 12:44:15,112,-91,55.79211674,12.52311097,82.5607910156,9.64800071716,WIFI,172,88:f0:31:ee:dd:7d,"Cisco Systems, Inc"
1181,54:64:d9:8b:9d:86,HomeBox-9D80_2.4G,[WPA2-PSK-CCMP][ESS][WPS],2018-06-07 12:44:35,11,-85,55.79225178,12.5223026,76.5234985352,9.64800071716,WIFI,184,54:64:d9:8b:9d:86,Sagemcom Broadband Sas
1182,3c:47:11:b0:d4:79,HUAWEI-E5180-D477-S2,[WEP][ESS],2018-06-07 12:44:35,5,-86,55.79225178,12.5223026,76.5234985352,9.64800071716,WIFI,185,3c:47:11:b0:d4:79,"Huawei Tech Co, Ltd"
1183,00:22:6b:48:7d:55,BGANDEMO,[WPA2-PSK-CCMP][ESS],2018-06-07 12:44:35,9,-86,55.79225178,12.5223026,76.5234985352,9.64800071716,WIFI,186,00:22:6b:48:7d:55,"Cisco-Linksys, Llc"
1184,3c:47:11:b0:d4:78,HUAWEI-E5180-D477-S1,[WEP][ESS],2018-06-07 12:44:35,5,-87,55.79225178,12.5223026,76.5234985352,9.64800071716,WIFI,187,3c:47:11:b0:d4:78,"Huawei Tech Co, Ltd"
1185,3c:47:11:b0:d4:7a,HUAWEI-E5180-D477-S3,[WEP][ESS],2018-06-07 12:44:35,5,-87,55.79225178,12.5223026,76.5234985352,9.64800071716,WIFI,188,3c:47:11:b0:d4:7a,"Huawei Tech Co, Ltd"
1186,3c:47:11:b0:d4:77,4G Wi-Fi 3Danmark-D477,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2018-06-07 12:44:35,5,-88,55.79225178,12.5223026,76.5234985352,9.64800071716,WIFI,189,3c:47:11:b0:d4:77,"Huawei Tech Co, Ltd"
1195,f0:9f:c2:da:fa:22,Morten & Tanja,[WPA2-PSK-CCMP][ESS][WPS],2018-06-07 12:45:20,11,-87,55.79158823,12.52190888,73.3779296875,9.64800071716,WIFI,197,f0:9f:c2:da:fa:22,Ubiquiti Networks Inc
1196,f0:9f:c2:03:25:98,Morten & Tanja,[WPA2-PSK-CCMP][ESS][WPS],2018-06-07 12:45:20,1,-88,55.79158823,12.52190888,73.3779296875,9.64800071716,WIFI,198,f0:9f:c2:03:25:98,Ubiquiti Networks Inc
1344,30:e1:71:49:75:3f,DIRECT-3E-HP ENVY 5640 series,[WPA2-PSK-CCMP][ESS][WPS],2018-06-07 12:51:41,6,-83,55.78989332,12.52508634,78.266418457,3.2160000801099997,WIFI,257,30:e1:71:49:75:3f,Hewlett Packard
2333,c0:ff:d4:bd:41:90,NETGEAR32,[WPA2-PSK-CCMP][ESS][WPS],2018-06-07 13:13:53,11,-87,55.78625169,12.52513789,80.4076538086,17.1520004272,WIFI,520,c0:ff:d4:bd:41:90,Netgear
2694,28:6f:7f:3a:1c:45,edunet-24,[WPA2-EAP-CCMP][ESS],2018-06-07 13:17:13,11,-75,55.78673215,12.52461925,83.94873046880001,20.3680000305,WIFI,694,28:6f:7f:3a:1c:45,"Cisco Systems, Inc"
2836,e4:aa:5d:14:d8:15,edunet-24,[WPA2-EAP-CCMP][ESS],1970-01-01 01:00:00,1,-81,55.8001356733,12.560090193299999,0.0,113.56303405799999,WIFI,734,e4:aa:5d:14:d8:15,"Cisco Systems, Inc"
2902,a0:2c:36:4a:06:2a,i3SYNC_0c06cd09,[WPA2-PSK-CCMP][ESS],2018-06-07 13:19:22,44,-92,55.78625218,12.52299062,85.790222168,12.864000320399999,WIFI,781,a0:2c:36:4a:06:2a,FN-Link Tech Ltd
2907,a0:2c:36:51:f1:42,i3SYNC_6dc5813a,[WPA2-PSK-CCMP][ESS],2018-06-07 13:19:28,48,-91,55.78624999,12.52298504,90.26153564450001,6.432000160219999,WIFI,791,a0:2c:36:51:f1:42,FN-Link Tech Ltd
2908,58:63:56:ee:fa:28,i3SYNC_2064c842,[WPA-PSK-CCMP+TKIP][ESS],2018-06-07 13:19:28,48,-92,55.78624999,12.52298504,90.26153564450001,6.432000160219999,WIFI,792,58:63:56:ee:fa:28,FN-Link Tech Ltd
2935,58:63:56:ef:69:fe,i3SYNC_ec2b8f40,[WPA2-PSK-CCMP][ESS],2018-06-07 13:20:39,48,-84,55.78623136,12.52326005,92.6985473633,25.728000640900003,WIFI,824,58:63:56:ef:69:fe,FN-Link Tech Ltd
3052,3c:f7:a4:c8:ed:d1,AndroidAP,[WPA2-PSK-CCMP][ESS],2018-06-07 13:24:15,11,-87,55.78635211,12.51946339,78.3088989258,4.28800010681,WIFI,884,3c:f7:a4:c8:ed:d1,"Samsung Electronics Co, Ltd"
